k,pairwise_precision,pairwise_recall,pairwise_f1,bestmatch_pred_gold,bestmatch_gold_pred,bestmatch_f1_sym,b3_precision,b3_recall,b3_f1,NMI,ARI,hyperedge_recovery_f1,hyperedge_recovery_frac,modularity,dataset,control,seed
15,0.016930022573363433,0.0641025641025641,0.02678571428571429,0.208452761230539,0.2198363236841786,0.2141445424573588,0.01911375661375661,0.03880115083818788,0.02561122122383297,0.5152633187379971,0.018985388900884047,0.21842223273802222,0.4,-0.01187144913972368,SynthA,hyperedge_size_preserving,0
15,0.016826923076923076,0.05982905982905983,0.026266416510318948,0.21053549049191753,0.20261502928334363,0.2065752598876306,0.017798353909465017,0.03344155844155844,0.023232073011734022,0.48835311756791355,-0.008787830667221962,0.20045767304590836,0.28,0.0035824262124714715,SynthA,degree_preserving_rewire,0
15,0.01756440281030445,0.0641025641025641,0.027573529411764705,0.20787699264938114,0.2058344698665223,0.2068557312579517,0.018010350417757826,0.028121381362122097,0.02195781138154104,0.48663978220695614,-0.0037518962015023936,0.20332040817799332,0.2,0.004082462133178234,SynthA,hyperedge_size_preserving,1
15,0.019464720194647202,0.06837606837606838,0.0303030303030303,0.20736228547832722,0.22606291544163906,0.21671260045998314,0.02037348796608056,0.03852190333671815,0.02665150928452532,0.5097681301427217,0.010518174310207486,0.22790236526459434,0.44,0.0003274197024584578,SynthA,degree_preserving_rewire,1
15,0.014799154334038054,0.05982905982905983,0.023728813559322035,0.21002155691268176,0.2145301417455852,0.2122758493291335,0.016810894261874654,0.036398597972672045,0.02299939187924813,0.48266011801130315,-0.010000345752722068,0.2187462594509034,0.28,-0.002185061512980171,SynthA,hyperedge_size_preserving,2
15,0.011737089201877934,0.042735042735042736,0.018416206261510127,0.1851823084121559,0.19154098612172865,0.18836164726694227,0.012287780806299326,0.017492384159050824,0.01443528486669495,0.4777675826100753,-0.024099265655616157,0.18716244196120357,0.12,0.003992906398511205,SynthA,degree_preserving_rewire,2
15,0.01990632318501171,0.07264957264957266,0.03125,0.21251409266115148,0.21220977728379448,0.21236193497247297,0.02070878367174664,0.04290657901769013,0.02793485804081062,0.5038373383584833,0.015634901124821847,0.21044640945569737,0.24,0.005729008283413393,SynthA,hyperedge_size_preserving,3
15,0.01645123384253819,0.05982905982905983,0.025806451612903226,0.20326711728625152,0.19082717831885018,0.19704714780255084,0.01561581422692534,0.03766924090998165,0.022078831169760314,0.4860359485502437,-0.012215345469600025,0.1928096228863492,0.12,-0.008686906262701416,SynthA,degree_preserving_rewire,3
15,0.013457556935817806,0.05555555555555555,0.021666666666666667,0.20050315652607387,0.20890205411369914,0.2047026053198865,0.014701210997507295,0.02720792581903693,0.0190884131076776,0.47689963886426423,-0.015660083297378686,0.20894917466434496,0.24,0.02025937702669056,SynthA,hyperedge_size_preserving,4
15,0.006872852233676976,0.02564102564102564,0.010840108401084013,0.17525785188323892,0.1874860470503991,0.181371949466819,0.006922090255423587,0.01194150499706055,0.008763989501350166,0.4652287309199137,-0.03155665786913404,0.18740631882737144,0.08,-0.03065227082835118,SynthA,degree_preserving_rewire,4
15,0.015889830508474576,0.0641025641025641,0.025466893039049233,0.2166524166073411,0.21396245155058277,0.21530743407896194,0.018117061265209414,0.04054277341314378,0.02504323149954196,0.49899824031564877,0.016818617330584266,0.21414912194788358,0.32,-0.017844718229118997,SynthA,hyperedge_size_preserving,5
